No.;Time;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter;;
1;0;0;0,045388;0,045388;-2,141596;2,137235;4,278831;;
2;0,045388;0,045388;2,232372;2,186984;2,137235;-2,131987;-4,269222;;
3;2,232372;2,232372;2,282121;0,049749;-2,131987;2,181655;4,313642;;
4;2,282121;2,282121;4,463857;2,181736;2,181655;-0,04777;-2,229425;;
5;4,463857;4,463857;4,463938;8,1E-05;-0,04777;0,000946;0,048716;;
6;4,463938;4,463938;4,511789;0,047851;0,000946;0,040086;0,03914;;
7;4,511789;4,511789;4,558694;0,046905;0,040086;0,000546;-0,03954;;
8;4,558694;4,558694;4,565513;0,006819;0,000546;0,005441;0,004895;;
9;4,565513;4,565513;4,571786;0,006273;0,005441;-0,00374;-0,009181;;
10;4,571786;4,571786;4,572618;0,000832;-0,00374;-0,021737;-0,017997;;
11;4,572618;4,572618;4,57719;0,004572;-0,021737;-0,008526;0,013211;;
12;4,57719;4,57719;4,603499;0,026309;-0,008526;-0,726307;-0,717781;;
13;4,603499;4,603499;4,638334;0,034835;-0,726307;0,706509;1,432816;;
14;4,638334;4,638334;5,399476;0,761142;0,706509;-0,473827;-1,180336;;
15;5,399476;5,399476;5,454109;0,054633;-0,473827;0,475276;0,949103;;
16;5,454109;5,454109;5,982569;0,52846;0,475276;-2,733031;-3,208307;;
17;5,982569;5,982569;6,035753;0,053184;-2,733031;2,702312;5,435343;;
18;6,035753;6,035753;8,821968;2,786215;2,702312;-0,466059;-3,168371;;
19;8,821968;8,821968;8,905871;0,083903;-0,466059;0,519753;0,985812;;
20;8,905871;8,905871;9,455833;0,549962;0,519753;-0,306837;-0,82659;;
21;9,455833;9,455833;9,486042;0,030209;-0,306837;0,283711;0,590548;;
22;9,486042;9,486042;9,823088;0,337046;0,283711;-0,840328;-1,124039;;
23;9,823088;9,823088;9,876423;0,053335;-0,840328;0,893646;1,733974;;
24;9,876423;9,876423;10,770086;0,893663;0,893646;-0,333321;-1,226967;;
25;10,770086;10,770086;10,770103;1,7E-05;-0,333321;0,281422;0,614743;;
